game_id,listing_id,platform_guess,is_standard_edition,is_bundle,is_excluded,exclude_reason,needs_detail_scrape,seen_count,best_rank,price_raw,sold_flag_raw,listing_url,title_raw
pragmata_switch2,m56295479280,unknown,1,0,0,,1,1,25,6000,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m56295479280,PRAGMATA Nintendo Switch ソフト
pragmata_switch2,m99779970000,unknown,1,0,0,,1,2,25,5980,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m99779970000,プラグマタ PRAGMATA Switch スイッチ 2 動作確認済み 送料込み
pragmata_switch2,m35960571915,Switch 2,1,0,0,,1,1,26,6900,ITEM_STATUS_SOLD_OUT,https://jp.mercari.com/item/m35960571915,プラグマタ PRAGMATA Switch2 早期購入特典未使用
pragmata_switch2,m15599452559,Switch 2,1,0,0,,1,2,27,12000,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m15599452559,真・三國無双 ORIGINS プラグマタNintendo Switch2
pragmata_switch2,m64321350831,Switch 2,1,0,0,,1,2,28,6100,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m64321350831,Switch2 プラグマタ 　早期購入特典使用済み
pragmata_switch2,m34953217938,unknown,1,0,0,,1,1,29,7100,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m34953217938,amiibo PRAGMATA DIANA フィギュア
pragmata_switch2,m35843513389,Switch 2,1,0,0,,1,1,29,6499,ITEM_STATUS_SOLD_OUT,https://jp.mercari.com/item/m35843513389,Nintendo Switch2 PRAGMATA プラグマタ
pragmata_switch2,m81179684011,Switch 2,1,0,0,,1,1,30,7500,ITEM_STATUS_SOLD_OUT,https://jp.mercari.com/item/m81179684011,プラグマタ switch2
pragmata_switch2,m12891033374,Switch 2,1,0,0,,1,1,31,5650,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m12891033374,PRAGMATA Nintendo Switch2 ソフト ※特典付き
pragmata_switch2,m77746920338,Switch 2,1,0,0,,1,1,31,6200,ITEM_STATUS_SOLD_OUT,https://jp.mercari.com/item/m77746920338,PRAGMATA プラグマタ Nintendo Switch2版
pragmata_switch2,m48817144053,Switch 2,1,0,0,,1,1,32,6400,ITEM_STATUS_SOLD_OUT,https://jp.mercari.com/item/m48817144053,プラグマタ switch2 コード未使用
pragmata_switch2,m74945048480,Switch 2,1,0,0,,1,3,33,5900,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m74945048480,PRAGMATA プラグマタ Nintendo Switch2 ソフト
pragmata_switch2,m38755491010,Switch 2,1,0,0,,1,1,34,6400,ITEM_STATUS_SOLD_OUT,https://jp.mercari.com/item/m38755491010,プラグマタ PRAGMATA Switch2
pragmata_switch2,2JQrwQuZc5bqzZdnkfm7Z4,Switch 2,1,0,0,,1,1,34,7980,ITEM_STATUS_ON_SALE,https://jp.mercari.com/shops/product/2JQrwQuZc5bqzZdnkfm7Z4,【中古】ニンテンドースイッチ2ハード amiibo ディアナ 【プラグマタ】 (プラグマタシリーズ)
pragmata_switch2,m59722628296,Switch 2,1,0,0,,1,3,35,5899,ITEM_STATUS_ON_SALE,https://jp.mercari.com/item/m59722628296,PRAGMATA Nintendo Switch 2 ソフト
pragmata_switch2,m44244038762,Switch 2,1,0,0,,1,1,36,6600,ITEM_STATUS_SOLD_OUT,https://jp.mercari.com/item/m44244038762,Switch2 プラグマタ　早期購入者特典付き
